id,name,external_id,state,country,mw,mwh,status,date_first_heard,start_construction,start_operation,start_estimated,owner,is_megapack,is_tesla,lat,long,coords_hint,has_user_data,project_website,link1,link2,link3,link4
1321,Swanbank,,queensland,australia,250,500,construction,,2024-02-19,,2025-06,,True,True,-27.649131,152.814807,2,True,,https://twitter.com/SawyerMerritt/status/1759460910530265090,https://reneweconomy.com.au/works-begin-on-giant-queensland-tesla-battery-at-site-of-former-coal-plant/,,
1329,Scatter Wash 1,67454,arizona,usa,170,680,construction,2024-05,2024-09,,2025-04,"Strata Manager, LLC",True,True,33.685402,-112.125062,3,True,,https://twitter.com/SawyerMerritt/status/1748500029197726146,https://www.energy-storage.news/strata-breaks-ground-on-1gwh-arizona-bess/,,
1331,Scatter Wash 2,67455,arizona,usa,85,340,construction,2024-05,2024-09,,2025-05,"Strata Manager, LLC",True,True,33.685402,-112.125062,3,True,,https://twitter.com/SawyerMerritt/status/1748500029197726146,https://www.energy-storage.news/strata-breaks-ground-on-1gwh-arizona-bess/,,
1374,Sendai,,miyagi,japan,11,43,operation,,,2024-06-17,,Kenes,True,True,38.271948,140.833529,3,True,,https://x.com/Tesla_Megapack/status/1802738958679285856,,,
1379,Hornsea Project Three - Battery Storage,9754,eastern,uk,200,600,planning,2023-01-23,,,2026Q4,Orsted Power (UK) Limited,True,True,52.575424,1.247254,2,True,,https://x.com/Tesla_Megapack/status/1800920444276543858,https://orsted.com/en/media/news/2024/06/orsted-invests-in-battery-energy-storage-system-co-1390267511,,
1390,Supernode Stage 1,,queensland,australia,250,520,construction,,2024-04-11,,2025Q4,Quinbrook,True,True,-27.318405,152.969631,2,True,https://supernode.com.au/project/metro-dc/,https://reneweconomy.com.au/construction-starts-on-sunshine-states-biggest-battery-after-landing-oftake-deal-with-origin-energy/,https://driveteslacanada.ca/news/tesla-megapack-set-to-triple-brisbane-based-supernode-battery-storage-project/,https://x.com/FredericLambert/status/1811399467070894094,https://www.pv-magazine-australia.com/2024/04/12/quinbrook-closes-first-stage-of-2-gwh-supernode-battery-project/
1391,Supernode Stage 2,,queensland,australia,250,1040,planning,2024-07-11,,,,Quinbrook,True,True,-27.320103,152.970537,2,True,https://supernode.com.au/project/metro-dc/,https://driveteslacanada.ca/news/tesla-megapack-set-to-triple-brisbane-based-supernode-battery-storage-project/,https://x.com/FredericLambert/status/1811399467070894094,,
1392,Brendale BESS,,queensland,australia,205,410,construction,2023-12-21,2024-08-09,,2025-07,Akaysha Energy,True,True,-27.329132,152.973193,1,True,https://akayshaenergy.com/projects/brendale-bess,https://www.energy-storage.news/australia-blackrock-backed-developer-akaysha-energy-progresses-710mwh-of-queensland-bess-projects/,https://x.com/SawyerMerritt/status/1821734359713341758,,
1393,Ville-sur-Haine,,,belgium,50,200,planning,2023-06-13,,,2024-12,Eneco,True,True,50.47647,4.077998,3,True,,https://www.pv-magazine.com/2023/06/13/eneco-to-build-50-mw-200-mwh-project-in-belgium/,,,
1394,Collie Battery Stage 2,,western australia,australia,341,1363,construction,,2024-05-01,,2025Q4,neoen,True,True,-33.31,116.29,2,True,https://colliebattery.com.au,https://colliebattery.com.au/2024/05/01/construction-stage2/,,,
