Old Ref ID,Ref,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,status,mw
,9292,06/07/2021,Fen Power 1 Limited,"Weirs Drove, Burwell - Battery Storage Facility",Battery,Stand-alone Storage,,30.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Land North Of Electricity Sub-Station Weirs Drove Burwell, Cambridge",Cambridgeshire,Eastern,England,CB25 0BP,558004,266555,East Cambridgeshire District Council,21/00816/FUL,,,,,,26/05/2021,,,,,,,,,,,,,,,planning,30
,9315,16/07/2021,Pivot Power,Sundon Substation - 49.9MW Battery Storage,Battery,Stand-alone Storage,,49.90,No,,,,,,,,Planning Application Submitted,Application Submitted,"Adj National Grid Sundon Substation, Water End Lane, Chalton",Bedfordshire,Eastern,England,LU4 9UJ,503312,226909,Central Bedfordshire Council,CB/21/02829/FULL,,,,,,12/07/2021,,,,,,,,,,,,,,,planning,49
,9340,22/07/2021,P3P Partners LLP,"Widow Hill, Balderstone Lane - Battery Energy Storage System",Battery,Stand-alone Storage,,70.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Balderstone Lane, Burnley",Lancashire,North West,England,BB10 2TJ,385991,434274,Burnley Borough Council,FUL/2021/0375,,,,,,13/07/2021,,,,,,,,,,,,,,,planning,70
,9341,22/07/2021,Statera Energy,Grendon Lakes - Battery Storage,Battery,Stand-alone Storage,,49.90,No,,,,,,,,Planning Application Submitted,Application Submitted,"Grendon Lakes, Main Road, Grendon, Northampton",Northamptonshire,East Midlands,England,NN7 1JW,487263,261370,North Northamtonshire Council,NW/21/00623/FUL,,,,,,15/07/2021,,,,,,,,,,,,,,,planning,49
,9343,22/07/2021,Novus Renewable Services Limited,Maelor Gasworks - Solar Farm & Battery Storage,Battery,Co-located with RE,9342,16.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"N/O Wales And West Utilities, Access Roads To Maelor Gasworks, Cross Lanes, Wrexham",Clwyd,Wales,Wales,LL13 0UW,338109,348133,Wrexham County Borough Council,P/2021/0676,,,,,,15/07/2021,,,,,,,,,,,,,,,planning,16
,9346,22/07/2021,Namene Solar,"Estuary Farm, Edward Benefer Way - Solar Farm & Battery Storage",Battery,Co-located with RE,9345,15.00,No,,,,,,,,Planning Application Submitted,Application Submitted,"Estuary Farm, Edward Benefer Way, Kings Lynn",Norfolk,Eastern,England,PE30 2HY,561943,320864,Borough Council of King�s Lynn & West Norfolk,21/01432/FM,,,,,,15/07/2021,,,,,,,,,,,,,,,planning,15
,9361,28/07/2021,Voltalia UK,South Farm Solar Park,Battery,Co-located with RE,9360,10.00,No,,,,,,,,Under Construction,Under Construction,"South Farm, Field Dairy To Louse Lane, Spetisbury, Blandford Forum",Dorset,South West,England,DT11 9DY,390129,101525,North Dorset District Council,2/2019/0850/PAEIA,,,,,,21/06/2019,,,,,,,15/11/2019,,,,,07/01/2021,,,construction,10
,9377,03/08/2021,HD888CAP Limited,"Capenhurst Lane, Capenhurst - Battery storage",Battery,Stand-alone Storage,,57.00,No,,,,,,,,Planning Application Submitted,Application Submitted,Capenhurst Lane Capenhurst Chester,Cheshire,North West,England,CH1 6EH,336716,374967,Cheshire West and Chester Council,21/02404/FUL ,,,,,,03/06/2021,,,,,,,,,,,,,,,planning,57
,9397,06/08/2021,North Deane Generation Limited,"Stainland Road, Salterhebble - Battery Storage Facility",Battery,Stand-alone Storage,,25.00,No,,,,,,,,Planning Application Submitted,Application Submitted,South Of Sub Station Stainland Road Elland Calderdale,West Yorkshire,Yorkshire and Humber,England,HX4 8LR,409605,422188,Calderdale Metropolitan Borough Council,21/00839/FUL,,,,,,14/06/2021,,,,,,,,,,,,,,,planning,25
,9427,13/08/2021,Welbar Energy Storage Limited,Dunton Hall - Battery Energy Storage System,Battery,Stand-alone Storage,,349.90,No,,,,,,,,Planning Application Submitted,Application Submitted,"East & Se/O Dunton Hall, Kingsbury Road, Curdworth, Sutton Coldfield",West Midlands,West Midlands,England,B76 0BL,419407,293150,North Warwickshire Borough Council,PAP/2021/0473,,,,,,05/08/2021,,,,,,,,,,,,,,,planning,349
